name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,procs,strategy
BM_at/10,0,0,BM_at/10,iteration,1,0,1,10794296,64.69515038217214,64.69407296223861,ns,2,Least Recently Used
BM_at/100,0,1,BM_at/100,iteration,1,0,1,10785069,64.89502338762891,64.8923518245456,ns,2,Least Recently Used
BM_at/1000,0,2,BM_at/1000,iteration,1,0,1,10808084,64.8436045645978,64.84157515800226,ns,2,Least Recently Used
BM_at/10000,0,3,BM_at/10000,iteration,1,0,1,10815165,64.78589674791206,64.78453014817595,ns,2,Least Recently Used
BM_at/100000,0,4,BM_at/100000,iteration,1,0,1,10813408,64.85375739055972,64.85311642730946,ns,2,Least Recently Used
BM_at/1000000,0,5,BM_at/1000000,iteration,1,0,1,10814631,64.73667062597039,64.7359707418589,ns,2,Least Recently Used
BM_insert/10,1,0,BM_insert/10,iteration,1,0,1,1691530,415.3453193102961,415.33324741506027,ns,2,Least Recently Used
BM_insert/100,1,1,BM_insert/100,iteration,1,0,1,1686276,414.98063484472823,414.9758337306598,ns,2,Least Recently Used
BM_insert/1000,1,2,BM_insert/1000,iteration,1,0,1,1686669,414.44862804479936,414.42728181996347,ns,2,Least Recently Used
BM_insert/10000,1,3,BM_insert/10000,iteration,1,0,1,1681660,415.3771927811531,415.3605788328192,ns,2,Least Recently Used
BM_insert/100000,1,4,BM_insert/100000,iteration,1,0,1,1597287,436.87954075736315,436.86975164763686,ns,2,Least Recently Used
BM_insert/1000000,1,5,BM_insert/1000000,iteration,1,0,1,1602395,439.1445511272014,439.1224604420277,ns,2,Least Recently Used
BM_insert_at_beginning/10,2,0,BM_insert_at_beginning/10,iteration,1,0,1,2828,697893.5548078001,697875.3168316843,ns,2,Least Recently Used
BM_insert_at_beginning/100,2,1,BM_insert_at_beginning/100,iteration,1,0,1,2386,634333.3608606887,634307.2581726732,ns,2,Least Recently Used
BM_insert_at_beginning/1000,2,2,BM_insert_at_beginning/1000,iteration,1,0,1,1362,824881.326733704,824834.9331864865,ns,2,Least Recently Used
BM_insert_at_beginning/10000,2,3,BM_insert_at_beginning/10000,iteration,1,0,1,142,4937156.154995482,4936691.894366193,ns,2,Least Recently Used
BM_insert_at_beginning/100000,2,4,BM_insert_at_beginning/100000,iteration,1,0,1,14,48699379.35810803,48699368.14285682,ns,2,Least Recently Used
BM_insert_at_beginning/1000000,2,5,BM_insert_at_beginning/1000000,iteration,1,0,1,2,489880835.4919311,489863359.00000453,ns,2,Least Recently Used
BM_find_middle/10,3,0,BM_find_middle/10,iteration,1,0,1,1471283,475.71366283124786,475.6839955331475,ns,2,Least Recently Used
BM_find_middle/100,3,1,BM_find_middle/100,iteration,1,0,1,186517,3749.6020791640776,3749.495005817165,ns,2,Least Recently Used
BM_find_middle/1000,3,2,BM_find_middle/1000,iteration,1,0,1,19473,36075.2631338166,36073.39839778089,ns,2,Least Recently Used
BM_find_middle/10000,3,3,BM_find_middle/10000,iteration,1,0,1,1974,358948.1170216798,358942.83738601697,ns,2,Least Recently Used
BM_find_middle/100000,3,4,BM_find_middle/100000,iteration,1,0,1,198,3531331.4242603616,3531195.5454545654,ns,2,Least Recently Used
BM_find_middle/1000000,3,5,BM_find_middle/1000000,iteration,1,0,1,20,35305043.499101885,35302575.94999994,ns,2,Least Recently Used
BM_std_sort/10,4,0,BM_std_sort/10,iteration,1,0,1,217350,3223.7182793487914,3223.693968254,ns,2,Least Recently Used
BM_std_sort/100,4,1,BM_std_sort/100,iteration,1,0,1,6926,101003.89416641527,101001.42679757322,ns,2,Least Recently Used
BM_std_sort/1000,4,2,BM_std_sort/1000,iteration,1,0,1,443,1575664.7472015454,1575608.8848758428,ns,2,Least Recently Used
BM_std_sort/10000,4,3,BM_std_sort/10000,iteration,1,0,1,29,23822688.379180457,23820880.172413364,ns,2,Least Recently Used
BM_std_sort/100000,4,4,BM_std_sort/100000,iteration,1,0,1,2,295682002.99399906,295674946.5000001,ns,2,Least Recently Used
BM_std_sort/1000000,4,5,BM_std_sort/1000000,iteration,1,0,1,1,3532817244.005855,3532672898.999991,ns,2,Least Recently Used
BM_at/10,0,0,BM_at/10,iteration,1,0,1,10502085,66.57398364091964,66.57313038315735,ns,3,Least Recently Used
BM_at/100,0,1,BM_at/100,iteration,1,0,1,10631756,66.67446374638085,66.64522426963144,ns,3,Least Recently Used
BM_at/1000,0,2,BM_at/1000,iteration,1,0,1,10517868,66.66744562603742,66.66638409989548,ns,3,Least Recently Used
BM_at/10000,0,3,BM_at/10000,iteration,1,0,1,10510374,66.68045333164366,66.67953357321105,ns,3,Least Recently Used
BM_at/100000,0,4,BM_at/100000,iteration,1,0,1,10521541,66.70885205974476,66.70738117163586,ns,3,Least Recently Used
BM_at/1000000,0,5,BM_at/1000000,iteration,1,0,1,10494689,66.5697125490738,66.56732495836678,ns,3,Least Recently Used
BM_insert/10,1,0,BM_insert/10,iteration,1,0,1,1574569,447.7457335861597,447.7418601534748,ns,3,Least Recently Used
BM_insert/100,1,1,BM_insert/100,iteration,1,0,1,1572032,447.8347940752232,447.8162333845647,ns,3,Least Recently Used
BM_insert/1000,1,2,BM_insert/1000,iteration,1,0,1,1565551,446.4062550682839,446.3920006438629,ns,3,Least Recently Used
BM_insert/10000,1,3,BM_insert/10000,iteration,1,0,1,1565702,447.1342726790899,447.11723686882954,ns,3,Least Recently Used
BM_insert/100000,1,4,BM_insert/100000,iteration,1,0,1,1562390,446.4550457828171,446.4431684790578,ns,3,Least Recently Used
BM_insert/1000000,1,5,BM_insert/1000000,iteration,1,0,1,1563119,447.7428602847366,447.49224403260376,ns,3,Least Recently Used
BM_insert_at_beginning/10,2,0,BM_insert_at_beginning/10,iteration,1,0,1,2770,688320.9173244823,688204.6971119115,ns,3,Least Recently Used
BM_insert_at_beginning/100,2,1,BM_insert_at_beginning/100,iteration,1,0,1,2367,633650.1157591942,633529.9881706807,ns,3,Least Recently Used
BM_insert_at_beginning/1000,2,2,BM_insert_at_beginning/1000,iteration,1,0,1,1344,828260.9650277231,827871.2663690471,ns,3,Least Recently Used
BM_insert_at_beginning/10000,2,3,BM_insert_at_beginning/10000,iteration,1,0,1,140,4981370.35714795,4979365.128571445,ns,3,Least Recently Used
BM_insert_at_beginning/100000,2,4,BM_insert_at_beginning/100000,iteration,1,0,1,14,49439448.000547215,49438354.2142859,ns,3,Least Recently Used
BM_insert_at_beginning/1000000,2,5,BM_insert_at_beginning/1000000,iteration,1,0,1,2,495461874.990724,495262352.0000046,ns,3,Least Recently Used
BM_find_middle/10,3,0,BM_find_middle/10,iteration,1,0,1,1552505,456.04852159154717,456.037885224207,ns,3,Least Recently Used
BM_find_middle/100,3,1,BM_find_middle/100,iteration,1,0,1,184569,3770.3144191528477,3770.216656101514,ns,3,Least Recently Used
BM_find_middle/1000,3,2,BM_find_middle/1000,iteration,1,0,1,19513,35992.68113628455,35978.19684313051,ns,3,Least Recently Used
BM_find_middle/10000,3,3,BM_find_middle/10000,iteration,1,0,1,1948,359264.67864006833,359264.71201232006,ns,3,Least Recently Used
BM_find_middle/100000,3,4,BM_find_middle/100000,iteration,1,0,1,200,3553585.4699264746,3553487.795000052,ns,3,Least Recently Used
BM_find_middle/1000000,3,5,BM_find_middle/1000000,iteration,1,0,1,20,35563871.39979051,35555317.90000046,ns,3,Least Recently Used
BM_std_sort/10,4,0,BM_std_sort/10,iteration,1,0,1,215869,3234.862662059128,3234.8658491956085,ns,3,Least Recently Used
BM_std_sort/100,4,1,BM_std_sort/100,iteration,1,0,1,6868,102044.63438798084,102042.945544554,ns,3,Least Recently Used
BM_std_sort/1000,4,2,BM_std_sort/1000,iteration,1,0,1,443,1579905.094820102,1579859.4808126383,ns,3,Least Recently Used
BM_std_sort/10000,4,3,BM_std_sort/10000,iteration,1,0,1,29,23854939.276071522,23854663.68965512,ns,3,Least Recently Used
BM_std_sort/100000,4,4,BM_std_sort/100000,iteration,1,0,1,2,295368920.0076042,295365655.49999946,ns,3,Least Recently Used
BM_std_sort/1000000,4,5,BM_std_sort/1000000,iteration,1,0,1,1,3574601114.989491,3574497518.000001,ns,3,Least Recently Used
BM_at/10,0,0,BM_at/10,iteration,1,0,1,10609661,66.53970112647627,66.53812237733162,ns,3,Most Recently Used
BM_at/100,0,1,BM_at/100,iteration,1,0,1,10564021,66.54028224589672,66.53807153545041,ns,3,Most Recently Used
BM_at/1000,0,2,BM_at/1000,iteration,1,0,1,10522960,66.42425230293352,66.4226457194554,ns,3,Most Recently Used
BM_at/10000,0,3,BM_at/10000,iteration,1,0,1,10651787,66.77854898870442,66.77844468726263,ns,3,Most Recently Used
BM_at/100000,0,4,BM_at/100000,iteration,1,0,1,10438547,66.44818363853871,66.44478316761904,ns,3,Most Recently Used
BM_at/1000000,0,5,BM_at/1000000,iteration,1,0,1,10530434,66.26650155209427,66.26576008168367,ns,3,Most Recently Used
BM_insert/10,1,0,BM_insert/10,iteration,1,0,1,1584333,442.0937883674977,442.08220557168204,ns,3,Most Recently Used
BM_insert/100,1,1,BM_insert/100,iteration,1,0,1,1592885,440.73763078252955,440.730395477389,ns,3,Most Recently Used
BM_insert/1000,1,2,BM_insert/1000,iteration,1,0,1,1579625,443.9158604096433,443.90549719078746,ns,3,Most Recently Used
BM_insert/10000,1,3,BM_insert/10000,iteration,1,0,1,1578057,440.5384235116913,440.51433946935873,ns,3,Most Recently Used
BM_insert/100000,1,4,BM_insert/100000,iteration,1,0,1,1579579,443.7773083845103,443.76964368353634,ns,3,Most Recently Used
BM_insert/1000000,1,5,BM_insert/1000000,iteration,1,0,1,1578543,440.42610812298886,440.41477235653383,ns,3,Most Recently Used
BM_insert_at_beginning/10,2,0,BM_insert_at_beginning/10,iteration,1,0,1,2798,693004.4907076302,692976.9453180853,ns,3,Most Recently Used
BM_insert_at_beginning/100,2,1,BM_insert_at_beginning/100,iteration,1,0,1,2379,634135.7923424229,634123.6523749467,ns,3,Most Recently Used
BM_insert_at_beginning/1000,2,2,BM_insert_at_beginning/1000,iteration,1,0,1,1355,822944.7055326231,822924.685608855,ns,3,Most Recently Used
BM_insert_at_beginning/10000,2,3,BM_insert_at_beginning/10000,iteration,1,0,1,142,4938786.51407062,4938624.992957716,ns,3,Most Recently Used
BM_insert_at_beginning/100000,2,4,BM_insert_at_beginning/100000,iteration,1,0,1,14,49026346.358004965,49024631.35714287,ns,3,Most Recently Used
BM_insert_at_beginning/1000000,2,5,BM_insert_at_beginning/1000000,iteration,1,0,1,2,490579971.5052126,490572320.5000001,ns,3,Most Recently Used
BM_find_middle/10,3,0,BM_find_middle/10,iteration,1,0,1,1457809,479.4829068910134,479.480553350947,ns,3,Most Recently Used
BM_find_middle/100,3,1,BM_find_middle/100,iteration,1,0,1,184987,3771.3649500949073,3771.247957964653,ns,3,Most Recently Used
BM_find_middle/1000,3,2,BM_find_middle/1000,iteration,1,0,1,19347,36216.353748691516,36216.13237194387,ns,3,Most Recently Used
BM_find_middle/10000,3,3,BM_find_middle/10000,iteration,1,0,1,1945,359755.3691480807,359751.56401027745,ns,3,Most Recently Used
BM_find_middle/100000,3,4,BM_find_middle/100000,iteration,1,0,1,194,3600004.0360995247,3599941.3814432444,ns,3,Most Recently Used
BM_find_middle/1000000,3,5,BM_find_middle/1000000,iteration,1,0,1,20,35881129.89964429,35880277.54999956,ns,3,Most Recently Used
BM_std_sort/10,4,0,BM_std_sort/10,iteration,1,0,1,215429,3256.2570916054683,3256.1986176420073,ns,3,Most Recently Used
BM_std_sort/100,4,1,BM_std_sort/100,iteration,1,0,1,6836,102350.07460580728,102345.39862492582,ns,3,Most Recently Used
BM_std_sort/1000,4,2,BM_std_sort/1000,iteration,1,0,1,439,1592921.9134497736,1592896.093394059,ns,3,Most Recently Used
BM_std_sort/10000,4,3,BM_std_sort/10000,iteration,1,0,1,29,24078831.310456235,24078489.41379304,ns,3,Most Recently Used
BM_std_sort/100000,4,4,BM_std_sort/100000,iteration,1,0,1,2,298951326.50563025,298942599.4999948,ns,3,Most Recently Used
BM_std_sort/1000000,4,5,BM_std_sort/1000000,iteration,1,0,1,1,3560155035.9860992,3560105297.999996,ns,3,Most Recently Used
BM_at/10,0,0,BM_at/10,iteration,1,0,1,10515558,66.37532416160353,66.37481748472104,ns,3,Least Frequently Used
