2025-04-15T18:54:21-04:00
Running bin/bench_vector
Run on (16 X 4465 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 512 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 1.11, 1.32, 0.80
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_at/0",6899159,101.303,101.294,ns,,,,,
"BM_at_prefetch/0",673772,1038.13,1038.03,ns,,,,,
"BM_insert/0",652428,1084.35,1083.67,ns,,,,,
"BM_replace",815654,858.252,857.833,ns,,,,,
"BM_replace_out_of_cache",810056,863.22,863.14,ns,,,,,
"BM_insert_at_beginning/0",1000,1.13401e+06,1.13382e+06,ns,,,,,
"BM_find_out_of_cache/10",999255,698.247,698.185,ns,,,,,
"BM_find_out_of_cache/100",15781,45850.4,45844.5,ns,,,,,
"BM_find_out_of_cache/1000",1699,411132,411074,ns,,,,,
"BM_find_out_of_cache/10000",173,3.87247e+06,3.87139e+06,ns,,,,,
"BM_find_out_of_cache/100000",24,2.612e+07,2.61168e+07,ns,,,,,
"BM_find_out_of_cache/1000000",3,2.65121e+08,2.65041e+08,ns,,,,,
"BM_find_out_of_cache/10000000",1,2.60993e+09,2.60984e+09,ns,,,,,
"BM_find_out_of_cache/100000000",1,2.57837e+10,2.57825e+10,ns,,,,,
